ticker,pool,signal_date,entry_date,entry_price,exit_date,exit_price,days_held,shares,partial_sold,realized_pnl,pnl_pct,entry_score,exit_reason,capital_used,dyn_signal,green_count
ACB,C,2025-09-23,2025-09-29,6.236,2025-09-30,5.794,1,1603,False,-713.71,-7.14,110,硬止损-7%,10001.68,ACCUMULATING,6
EDU,C,2025-10-10,2025-10-15,58.488,2025-11-07,54.34,17,170,False,-709.88,-7.14,110,硬止损-7%,9948.0,ACCUMULATING,6
TXN,C,2026-01-05,2026-01-06,191.045,2026-02-24,213.137,33,52,True,1160.24,11.67,96,MA21追踪出场,9939.31,ACCUMULATING,6
WMS,C,2026-01-07,2026-01-09,158.782,2026-02-18,169.602,26,62,True,773.9,7.86,107,MA10追踪出场,9849.39,ACCUMULATING,6
DXCM,C,2026-01-09,2026-01-12,71.051,2026-02-12,66.011,22,140,False,-710.17,-7.14,123,硬止损-7%,9952.11,ACCUMULATING,7
WST,C,2026-01-14,2026-01-21,255.182,2026-01-23,237.082,2,39,False,-710.52,-7.14,103,硬止损-7%,9957.06,ACCUMULATING,6
RHP,C,2026-01-16,2026-01-21,94.802,2026-02-27,97.353,26,105,True,403.13,4.05,106,MA10追踪出场,9959.14,ACCUMULATING,6
LII,C,2026-01-20,2026-01-21,515.423,2026-01-28,478.864,5,19,False,-699.17,-7.14,104,硬止损-7%,9797.93,ACCUMULATING,6
DRH,C,2026-01-20,2026-01-21,9.418,2026-03-03,9.776,28,1061,True,429.62,4.3,81,MA10追踪出场,9997.87,ACCUMULATING,6
GTES,C,2026-01-26,2026-01-28,22.983,2026-02-25,27.482,19,435,True,1683.47,16.83,105,MA10追踪出场,10002.59,ACCUMULATING,6
BV,C,2026-01-27,2026-02-02,13.814,2026-02-04,12.834,2,723,False,-713.04,-7.14,98,硬止损-7%,9992.37,ACCUMULATING,7
IBP,C,2026-01-28,2026-02-03,301.17,2026-02-18,324.906,10,33,True,789.37,7.94,94,MA10追踪出场,9943.57,ACCUMULATING,6
BIIB,C,2026-01-29,2026-02-04,185.635,2026-03-05,187.892,20,53,False,114.61,1.16,112,横盘20天出场,9843.6,ACCUMULATING,7
SPXC,C,2026-02-02,2026-02-05,218.238,2026-02-25,218.456,13,45,True,188.29,1.92,103,成本止损,9825.62,ACCUMULATING,7
GRMN,C,2026-02-09,2026-02-13,214.134,2026-03-05,239.014,13,46,True,1098.54,11.15,99,MA10追踪出场,9855.09,ACCUMULATING,6
OXM,C,2026-03-05,2026-03-09,38.295,2026-03-12,35.579,3,261,False,-713.59,-7.14,117,硬止损-7%,9999.99,ACCUMULATING,7
TAL,C,2026-04-13,2026-04-16,12.472,2026-04-17,12.627,1,801,False,119.02,1.19,93,持仓35天强制出场,9995.44,ACCUMULATING,6
